MODCREATOR_BASIC_COMPCONF	コンポーネントの構成
MODCREATOR_BASIC_ACCSLOT_HANDS	手
MODCREATOR_BASIC_ACCSLOT_LEGS	脚部
MODCREATOR_BASIC_ACCSLOT_FEET	足

MODCREATOR_BASIC_CLOTHSLOT_BRA	ブラジャー
MODCREATOR_BASIC_CLOTHSLOT_PANTIES	パンティ
MODCREATOR_BASIC_CLOTHSLOT_BOXERS	ボクサーズ
MODCREATOR_BASIC_CLOTHSLOT_SOCKS	ソックス
MODCREATOR_BASIC_CLOTHSLOT_STOCKINGS	ストッキング
MODCREATOR_BASIC_CLOTHSLOT_SHIRT	シャツ
MODCREATOR_BASIC_CLOTHSLOT_COAT	コート
MODCREATOR_BASIC_CLOTHSLOT_ONEPIECE	ワンピース
MODCREATOR_BASIC_CLOTHSLOT_SKIRT	スカート
MODCREATOR_BASIC_CLOTHSLOT_PANTS	パンツ
MODCREATOR_BASIC_CLOTHSLOT_SHOES	シューズ

MODCREATOR_BASIC_STUDIOSLOT_BASICSHAPES	基本図形
MODCREATOR_BASIC_STUDIOSLOT_LIGHTS	ライト
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS2D	2Dエフェクト
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS3D	3Dエフェクト
MODCREATOR_BASIC_STUDIOSLOT_SMALLOBJECTS	小さなオブジェクト
MODCREATOR_BASIC_STUDIOSLOT_LARGEOBJECTS	大きなオブジェクト
MODCREATOR_BASIC_STUDIOSLOT_MISCOBJECTS	その他のオブジェクト
MODCREATOR_BASIC_STUDIOSLOT_HRELATED	H 関連オブジェクト
MODCREATOR_BASIC_STUDIOSLOT_FOODRELATED	食品関連
MODCREATOR_BASIC_STUDIOSLOT_CHARARELATED	キャラ関連
MODCREATOR_BASIC_STUDIOSLOT_FURNITURE	家具関連
MODCREATOR_BASIC_STUDIOSLOT_BUILDINGS	ビルディング
MODCREATOR_BASIC_STUDIOSLOT_GIMMICKS	ギミック

MODCREATOR_BASIC_HAIRSLOT_HAIRSET	ヘアセット
MODCREATOR_BASIC_HAIRSLOT_FRONTHAIR	フロントヘア
MODCREATOR_BASIC_HAIRSLOT_SIDEHAIR	サイドヘア
MODCREATOR_BASIC_HAIRSLOT_BACKHAIR	バックヘア
MODCREATOR_BASIC_HAIRSLOT_EXTENSION	エクステンション

MODCREATOR_BASIC_TEXTYPE_FACESKIN	フェイススキン
MODCREATOR_BASIC_TEXTYPE_BODYSKIN	ボディスキン
MODCREATOR_BASIC_TEXTYPE_NIPPLES	乳首

MODCREATOR_BASIC_TYPE_CLOTHING	衣服
MODCREATOR_BASIC_TYPE_ACCESSORY	アクセサリー
MODCREATOR_BASIC_TYPE_HAIR	髪の毛
MODCREATOR_BASIC_TYPE_TEXTURE	テクスチャ

MODCREATOR_BUILDER_COMPTYPE_NULLVALUE	デフォルト
MODCREATOR_BUILDER_COMPTYPE_NONE	解凍
MODCREATOR_BUILDER_COMPTYPE_ZSTANDARD	Zstandard
MODCREATOR_BASIC_TEXTYPE_FACEOVERLAY	Face Overlay
MODCREATOR_BASIC_TEXTYPE_BODYOVERLAY	Body Overlay
MODCREATOR_BASIC_CLOTHSIM_TITLE	Physics Simulation
MODCREATOR_BASIC_CLOTHSIM_PRESET	Preset
MODCREATOR_BASIC_CLOTHSIM_PRESET_NONE	Default
MODCREATOR_BASIC_CLOTHSIM_PRESET_TAILBONESPRING	Tail (BoneSpring)
MODCREATOR_BASIC_CLOTHSIM_PRESET_SKIRT	Skirt
MODCREATOR_BASIC_CLOTHSIM_PRESET_BREASTS	Breasts
MODCREATOR_BASIC_CLOTHSIM_PRESET_CAPE	Cape
MODCREATOR_BASIC_CLOTHSIM_PRESET_NECKTIE	Necktie
MODCREATOR_BASIC_CLOTHSIM_PRESET_HAIRSTRAINS	Hair (Strains)
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE	Bone Alignment Mode
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_ATTACHONLY	Attach Only
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_FULL	Full
MODCREATOR_BASIC_CLOTHSIM_ARMATUREROOT	Armature Root
MODCREATOR_BASIC_CLOTHSIM_ENABLED	Enabled
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE	Simulation Type
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONESPRING	Bone Spring
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONECLOTH	Bone Cloth
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_MESHCLOTH	Mesh Cloth
MODCREATOR_BASIC_CLOTHSIM_USEBACKSTOP	Use Backstop
MODCREATOR_BASIC_CLOTHSIM_CUSTOMSKINNING	Custom Skinning
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE	Connection Mode
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_LINE	Line
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_AUTOMATICMESH	Automatic Mesh
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALLOOPMESH	Sequential Loop Mesh
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALNONLOOPMESH	Sequential Nonloop Mesh
MODCREATOR_BASIC_CLOTHSIM_REDUCTION	Reduction
MODCREATOR_BASIC_CLOTHSIM_SKINNINGBONES	Skinning Bones
MODCREATOR_BASIC_CLOTHSIM_ROOTBONES	Root Bones
MODCREATOR_BASIC_CLOTHSIM_PAINTMAP	Paint Map
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE	Collision Mode
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_POINT	Point
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_EDGE	Edge
MODCREATOR_BASIC_CLOTHSIM_RADIUS	Radius
MODCREATOR_BASIC_CLOTHSIM_FRICTION	Friction
MODCREATOR_BASIC_OVERLAYCOLOR	Overlay Color
MODCREATOR_BASIC_TEXTYPE_LIPS	Lips
MODCREATOR_BASIC_CLOTHSIM_NAME	Name
MODCREATOR_BASIC_CLOTHSIM_GENERAL	General
MODCREATOR_BASIC_CLOTHSIM_ANIMPOSERATIO	Animation Pose Ratio
MODCREATOR_BASIC_CLOTHSIM_COLLISION	Collision
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUS	Max Distance Radius
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPNORMALALIGN	Backstop Normal Align
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDIST	Backstop Distance
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPRADIUS	Backstop Radius
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFNESS	Backstop Stiffness
MODCREATOR_BASIC_CLOTHSIM_FORCE	Force
MODCREATOR_BASIC_CLOTHSIM_GRAVITY	Gravity
MODCREATOR_BASIC_CLOTHSIM_DAMPING	Damping
MODCREATOR_BASIC_CLOTHSIM_ANGLE	Angle
MODCREATOR_BASIC_CLOTHSIM_STIFFNESS	Stiffness
MODCREATOR_BASIC_CLOTHSIM_VELATTEN	Velocity Attenuation
MODCREATOR_BASIC_CLOTHSIM_SHAPE	Shape
MODCREATOR_BASIC_CLOTHSIM_RIGIDNESS	Rigidness
MODCREATOR_BASIC_CLOTHSIM_TETHER	Tether
MODCREATOR_BASIC_CLOTHSIM_INERTIA	Inertia
MODCREATOR_BASIC_CLOTHSIM_WORLDINERT	World Inertia
MODCREATOR_BASIC_CLOTHSIM_LOCALINERT	Local Inertia
MODCREATOR_BASIC_CLOTHSIM_SIMULATION	Simulation
MODCREATOR_BASIC_CLOTHSIM_ADVCOLLISION	Advanced Collision
MODCREATOR_BASIC_CLOTHSIM_RADIUSCURVE	Radius Curve
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUSCURVE	Max Dist Radius Curve
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDISTCURVE	Backstop Distance Curve
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFCURVE	Backstop Stiffness Curve
MODCREATOR_BASIC_CLOTHSIM_DAMPINGCURVE	Damping Curve
MODCREATOR_BASIC_CLOTHSIM_STIFFNESSCURVE	Stiffness Curve
MODCREATOR_BASIC_CLOTHSIM_RIGIDCURVE	Rigidness Curve
MODCREATOR_BASIC_CLOTHSIM_ANGLIMIT	Angle Limit
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITCURVE	Angle Limit Curve
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITSTIFFNESS	Angle Limit Stiffness
MODCREATOR_BASIC_CLOTHSIM_SPRINGSTR	Spring Strength
MODCREATOR_BASIC_CLOTHSIM_SPRINGDIST	Spring Distance
MODCREATOR_BASIC_CLOTHSIM_SPRINGNORMALDISTRATIO	Spring Normal Dist Ratio
MODCREATOR_BASIC_CLOTHSIM_SPRINGNOISE	Spring Noise
MODCREATOR_BASIC_FK_TITLE	Forward Kinematics
MODCREATOR_BASIC_FK_GENERAL	General
MODCREATOR_BASIC_FK_GROUPNAME	Group Name
MODCREATOR_BASIC_FK_CHARASETTINGS	Character Settings
MODCREATOR_BASIC_FK_FUTAEXCLUSIVE	Futa Exclusive
MODCREATOR_BASIC_FK_TRANSFORMNAME	Transform Name
MODCREATOR_BASIC_FK_TRANSFORM	Transform
MODCREATOR_BASIC_FK_READRESTINGANG	Read Resting Angle
MODCREATOR_BASIC_FK_RESTINGANGLE	Resting Angle
MODCREATOR_BASIC_FK_MOVABLETARGSCA	Movable Target Scale
MODCREATOR_BASIC_FK_MIRRORING	Mirroring
MODCREATOR_BASIC_FK_MIRRORTRANSFORM	Mirror Transform
MODCREATOR_BASIC_FK_MIRRORX	Mirror X Axis
MODCREATOR_BASIC_FK_MIRRORY	Mirror Y Axis
MODCREATOR_BASIC_FK_MIRRORZ	Mirror Z Axis
MODCREATOR_BASIC_TEXTYPE_OUTERIRIS	Outer Iris
MODCREATOR_BASIC_TEXTYPE_INNERIRIS	Inner Iris
MODCREATOR_BASIC_TEXTYPE_PUPIL	Pupil
MODCREATOR_BASIC_TEXTYPE_HIGHLIGHT	Highlight
MODCREATOR_BASIC_TEXTYPE_BLUSH	Blush
MODCREATOR_BASIC_CLOTHSLOT_GLOVES	Gloves
MODCREATOR_BASIC_BLENDOFF_TITLE	Blendshape Offsets
MODCREATOR_BASIC_CLIPPINGFIX	Clipping Fix
MODCREATOR_BASIC_USECLIPPINGFIX	Use Clipping Fix
MODCREATOR_BASIC_CLIPPINGDISTANCE	Distance
MODCREATOR_BASIC_HIDEPREVIEWRENDERERS	Hide Preview Renderers
MODCREATOR_BASIC_RAYSRESOLUTION	Preview Resolution
MODCREATOR_BASIC_RAYSRESOLUTION_LOW	Low
MODCREATOR_BASIC_RAYSRESOLUTION_MEDIUM	Medium
MODCREATOR_BASIC_RAYSRESOLUTION_HIGH	High
MODCREATOR_BASIC_RAYSRESOLUTION_VERYHIGH	Very High
MODCREATOR_BASIC_PREVIEW_STATE_FULL	Preview Full State
MODCREATOR_BASIC_PREVIEW_STATE_HALF	Preview Half State
MODCREATOR_BASIC_PREVIEW_STOP	Stop Preview
MODCREATOR_BASIC_FADEDURATION	Fade Duration
MODCREATOR_BASIC_CONTAINERS	Containers
MODCREATOR_BASIC_CONTAINERTYPE	Container Type
MODCREATOR_BASIC_CONTAINERTYPE_SINGLE	Single
MODCREATOR_BASIC_CONTAINERTYPE_LINEAR	Linear
MODCREATOR_BASIC_CONTAINERTYPE_TWODIMENSIONAL	2D
MODCREATOR_BASIC_CLIPS	Clips
MODCREATOR_BASIC_THRESHOLDS	Thresholds
MODCREATOR_BASIC_POSITIONS	Positions
MODCREATOR_BASIC_PARAMNAME	Param Name
MODCREATOR_BASIC_PARAMINITVALUE	Param Initial Value
MODCREATOR_BASIC_PARAMXNAME	Param X Name
MODCREATOR_BASIC_PARAMYNAME	Param Y Name
MODCREATOR_BASIC_TYPE_BASEMESH	Base Mesh
MODCREATOR_BASIC_COMPATIBLEBASEMESHES	Compatible Base Meshes
MODCREATOR_BASIC_AVATAR	Avatar
MODCREATOR_BASIC_FACE	Face
MODCREATOR_BASIC_BODY	Body
MODCREATOR_BASIC_RENDERER	Renderer
MODCREATOR_BASIC_SUBMESH	Submesh
MODCREATOR_BASIC_EYEDATA_BLINKSHAPE_LEFT	Blink (Left) Blendshape
MODCREATOR_BASIC_EYEDATA_BLINKSHAPE_RIGHT	Blink (Right) Blendshape
MODCREATOR_BASIC_MOUTHDATA_OPENSHAPE	Open Mouth Blendshape
MODCREATOR_BASIC_POVTR	POV Transform
MODCREATOR_BASIC_FACETR	Face Transform
MODCREATOR_BASIC_COCKBONE	Cock
MODCREATOR_BASIC_BODYROOTBONE	Armature
MODCREATOR_BASIC_HEADROOTBONE	Head
MODCREATOR_BASIC_PRIVATESROOTBONE	Privates Root Bone
MODCREATOR_BASIC_EYES	Eyes
MODCREATOR_BASIC_BREASTS	Breasts
MODCREATOR_BASIC_BUTTOCKS	Buttocks
MODCREATOR_BASIC_SFWCOLLIDERS	SFW Colliders
MODCREATOR_BASIC_SHAPERENDERERS	Blendshape Renderers
MODCREATOR_BASIC_AUTOFILL	Autofill Entries
MODCREATOR_BASIC_AUTOFILLNEW	Autofill New Entries
MODCREATOR_BASIC_REMOVEINVALID	Remove Invalid Entries
MODCREATOR_BASIC_BODYPARTS	Body Parts
MODCREATOR_BASIC_ACCESSORYPARENTS	Accessory Parents
MODCREATOR_BASIC_BLENDSHAPES	Blendshapes
MODCREATOR_BASIC_DEFAULTRANGES	Set Default Ranges
MODCREATOR_BASIC_SHOWFUTA	Show when Futanari enabled
MODCREATOR_BASIC_FACE_SHAPECAT	Face Category
MODCREATOR_BASIC_BODY_SHAPECAT	Body Category
MODCREATOR_BASIC_SFWRANGE	SFW Range
MODCREATOR_BASIC_NSFWRANGE	NSFW Range
MODCREATOR_BASIC_BLENDSHAPEPRESETS	Blendshape Presets
MODCREATOR_BASIC_BODYPARTS_HEAD	Head
MODCREATOR_BASIC_BODYPARTS_NECK	Neck
MODCREATOR_BASIC_BODYPARTS_LEFTSHOULDER	Left Shoulder
MODCREATOR_BASIC_BODYPARTS_RIGHTSHOULDER	Right Shoulder
MODCREATOR_BASIC_BODYPARTS_LEFTARM	Left arm
MODCREATOR_BASIC_BODYPARTS_RIGHTARM	Right Arm
MODCREATOR_BASIC_BODYPARTS_LEFTFOREARM	Left Forearm
MODCREATOR_BASIC_BODYPARTS_RIGHTFOREARM	Right Forearm
MODCREATOR_BASIC_BODYPARTS_LEFTHAND	Left Hand
MODCREATOR_BASIC_BODYPARTS_RIGHTHAND	Right Hand
MODCREATOR_BASIC_BODYPARTS_LEFTBREAST	Left Breast
MODCREATOR_BASIC_BODYPARTS_RIGHTBREAST	Right Breast
MODCREATOR_BASIC_BODYPARTS_CHEST	Chest
MODCREATOR_BASIC_BODYPARTS_STOMACH	Stomach
MODCREATOR_BASIC_BODYPARTS_HIPS	Hips
MODCREATOR_BASIC_BODYPARTS_CROTCH	Crotch
MODCREATOR_BASIC_BODYPARTS_LEFTBUTTOCK	Left Buttock
MODCREATOR_BASIC_BODYPARTS_RIGHTBUTTOCK	Right Buttock
MODCREATOR_BASIC_BODYPARTS_LEFTTHIGH	Left Thigh
MODCREATOR_BASIC_BODYPARTS_RIGHTTHIGH	Right Thigh
MODCREATOR_BASIC_BODYPARTS_LEFTSHIN	Left Shin
MODCREATOR_BASIC_BODYPARTS_RIGHTSHIN	Right Shin
MODCREATOR_BASIC_BODYPARTS_LEFTFOOT	Left Foot
MODCREATOR_BASIC_BODYPARTS_RIGHTFOOT	Right Foot
MODCREATOR_BASIC_FACE_SHAPECAT_NONE	None
MODCREATOR_BASIC_FACE_SHAPECAT_FACE	Face
MODCREATOR_BASIC_FACE_SHAPECAT_CHEEKS	Cheeks
MODCREATOR_BASIC_FACE_SHAPECAT_EARS	Ears
MODCREATOR_BASIC_FACE_SHAPECAT_JAW	Jaw
MODCREATOR_BASIC_FACE_SHAPECAT_CHIN	Chin
MODCREATOR_BASIC_FACE_SHAPECAT_EYES	Eyes
MODCREATOR_BASIC_FACE_SHAPECAT_NOSE	Nose
MODCREATOR_BASIC_FACE_SHAPECAT_MOUTH	Mouth
MODCREATOR_BASIC_FACE_SHAPECAT_EXPRESSION	Expression
MODCREATOR_BASIC_FACE_SHAPECAT_EYEBROWS	Eyebrows
MODCREATOR_BASIC_FACE_SHAPECAT_UPPEREYELIDS	Upper Eyelids
MODCREATOR_BASIC_FACE_SHAPECAT_LOWEREYELIDS	Lower Eyelids
MODCREATOR_BASIC_BODY_SHAPECAT_NONE	None
MODCREATOR_BASIC_BODY_SHAPECAT_CHEST	Chest
MODCREATOR_BASIC_BODY_SHAPECAT_NECK	Neck
MODCREATOR_BASIC_BODY_SHAPECAT_TORSO	Torso
MODCREATOR_BASIC_BODY_SHAPECAT_WAIST	Waist
MODCREATOR_BASIC_BODY_SHAPECAT_HIPS	Hips
MODCREATOR_BASIC_BODY_SHAPECAT_ARMS	Arms
MODCREATOR_BASIC_BODY_SHAPECAT_LEGS	Legs
MODCREATOR_BASIC_BODY_SHAPECAT_PRIVATES	Privates
MODCREATOR_BASIC_MERGEDEYES	Merged Eyes
MODCREATOR_BASIC_INVERTMERGEDEYES	Invert Merged Eyes
MODCREATOR_BASIC_TEXTYPE_NOSE	Nose
MODCREATOR_BASIC_TEXTYPE_FACETAN	Face Tan
MODCREATOR_BASIC_TEXTYPE_BODYTAN	Body Tan
MODCREATOR_BASIC_TEXTYPE_FACETATTOO	Face Tattoo
MODCREATOR_BASIC_TEXTYPE_BODYTATTOO	Body Tattoo
MODCREATOR_BASIC_TEXTYPE_PUBICHAIR	Pubic Hair
MODCREATOR_BASIC_BASEMESHCOMPAT_TEXTURESCOMPAT	Keep Textures Compatible
MODCREATOR_BASIC_BASEMESHCOMPAT_BONEALIASES_FROM	Bone Source
MODCREATOR_BASIC_BASEMESHCOMPAT_BONEALIASES_TO	Bone Target
MODCREATOR_BASIC_BASEMESHCOMPAT_BONEALIASES	Accessory Parent Bone Aliases
MODCREATOR_BASIC_HIDECOCK	Hide Cock
MODCREATOR_BASIC_BALLS	Balls
MODCREATOR_BASIC_HIDEVAG	Hide Vagina
MODCREATOR_BASIC_LARGEBACKGROUND	Large Background (16:9)
